date,volume,open,high,low,close,adjusted_close
2025-06-02,638694,171.9,171.9,168.5,169.1,24.157142857142855
2025-06-03,370193,171.0,172.3,170.2,170.35,24.335714285714285
2025-06-04,540380,172.7,175.8,172.7,175.8,25.114285714285717
2025-06-05,604789,176.4,176.6,175.75,176.3,25.185714285714287
2025-06-06,150127,176.3,176.5,175.6,175.75,25.107142857142858
2025-06-09,383600,177.55,178.4,177.05,177.9,25.414285714285715
2025-06-10,1108127,179.9,183.65,179.9,183.6,26.228571428571428
2025-06-11,931549,185.2,185.5,184.55,185.5,26.5
2025-06-12,938073,185.0,185.0,183.75,184.4,26.342857142857145
2025-06-13,881627,182.05,182.85,180.95,181.25,25.892857142857142
2025-06-16,563326,180.7,181.3,179.6,181.3,25.900000000000002
2025-06-17,585007,183.25,184.2,182.55,182.7,26.099999999999998
2025-06-18,441459,182.5,184.85,182.5,184.8,26.400000000000002
2025-06-19,256529,184.45,184.45,182.05,182.75,26.107142857142858
2025-06-20,381702,181.85,183.0,180.5,183.0,26.142857142857142
2025-06-23,442731,179.85,181.1,178.95,181.1,25.87142857142857
2025-06-24,397808,183.0,184.65,183.0,184.6,26.37142857142857
2025-06-25,660747,186.5,187.1,186.0,187.1,26.728571428571428
2025-06-26,968266,187.45,188.35,187.0,187.55,26.792857142857144
2025-06-27,557469,187.85,188.0,186.4,187.8,26.82857142857143
2025-06-30,686860,188.3,188.7,187.45,188.1,26.87142857142857
2025-07-01,1084731,188.6,191.0,188.15,188.9,26.985714285714288
2025-07-02,213527,188.05,189.75,187.55,189.75,27.107142857142858
2025-07-03,806092,191.95,192.3,191.2,191.45,27.349999999999998
2025-07-04,341201,191.85,192.0,189.5,190.1,27.157142857142855
2025-07-07,682715,189.3,189.5,188.2,188.95,26.99285714285714
2025-07-08,471192,187.75,188.2,187.15,187.55,26.792857142857144
2025-07-09,332186,187.1,190.8,187.1,190.55,27.22142857142857
2025-07-10,836152,191.05,192.45,191.05,192.45,27.49285714285714
2025-07-11,332379,192.45,192.95,192.1,192.95,27.564285714285713
2025-07-14,317105,192.7,192.7,190.55,191.75,27.392857142857142
2025-07-15,867243,192.15,194.65,191.5,194.3,27.75714285714286
2025-07-16,1160356,195.3,197.2,195.3,196.85,28.12142857142857
2025-07-17,957625,197.3,197.95,195.5,197.35,28.192857142857143
2025-07-18,1229768,200.0,200.95,199.8,200.2,28.599999999999998
2025-07-21,725058,200.0,200.1,199.0,199.65,28.521428571428572
2025-07-22,1555056,199.85,201.6,197.45,197.9,28.271428571428572
2025-07-23,889331,198.15,199.4,198.15,199.1,28.442857142857143
2025-07-24,912314,200.0,200.45,199.85,200.4,28.62857142857143
2025-07-25,822061,200.55,200.7,199.7,200.15,28.592857142857145
2025-07-28,855623,200.9,201.1,199.95,200.7,28.67142857142857
2025-07-29,732939,200.7,200.7,197.2,198.05,28.292857142857144
2025-07-30,1038580,199.5,201.1,199.3,200.2,28.599999999999998
2025-07-31,1021087,200.85,203.1,200.85,203.0,29.0
2025-08-01,821877,199.25,200.7,199.25,200.35,28.62142857142857
2025-08-04,401835,198.15,199.2,197.4,199.2,28.457142857142856
2025-08-05,545861,201.0,201.5,200.15,201.4,28.771428571428572
2025-08-06,564854,199.6,199.6,198.85,199.15,28.45
2025-08-07,1034685,203.85,206.6,203.85,206.4,29.485714285714288
2025-08-08,593722,206.8,206.8,205.8,205.85,29.407142857142855
2025-08-11,584152,205.4,208.7,204.9,207.7,29.67142857142857
2025-08-12,438081,207.9,208.2,206.4,207.9,29.7
2025-08-13,850320,208.4,209.55,207.45,209.15,29.87857142857143
2025-08-14,759899,208.8,209.15,207.2,207.85,29.692857142857143
2025-08-15,889409,207.85,208.3,206.9,207.45,29.635714285714283
2025-08-18,640928,206.95,208.95,206.95,208.85,29.835714285714285
2025-08-19,192035,208.75,209.0,208.0,208.05,29.72142857142857
2025-08-20,1116025,204.6,205.5,200.8,200.95,28.707142857142856
2025-08-21,586718,201.25,203.1,201.25,203.05,29.00714285714286
2025-08-22,459946,203.05,203.05,201.35,201.5,28.785714285714285
2025-08-25,1376649,205.45,207.4,205.15,206.75,29.535714285714285
2025-08-26,246484,206.0,207.8,205.5,207.4,29.62857142857143
2025-08-27,365492,208.4,209.55,208.4,209.55,29.935714285714287
2025-08-28,468382,208.6,208.8,206.8,206.8,29.542857142857144
2025-08-29,397623,208.65,208.85,206.9,207.0,29.571428571428573
2025-09-01,477148,205.85,206.3,203.0,204.25,29.178571428571427
2025-09-02,677125,206.05,206.4,203.2,203.55,29.07857142857143
2025-09-03,343876,203.3,204.4,202.8,203.5,29.071428571428573
2025-09-04,519051,206.05,206.95,204.7,205.0,29.285714285714285
2025-09-05,620139,206.15,207.8,206.15,207.5,29.642857142857142
2025-09-08,1238330,209.15,210.1,209.0,209.8,29.97142857142857
2025-09-09,1341576,210.55,212.0,210.2,211.9,30.271428571428572
2025-09-10,1390564,214.05,216.4,214.05,216.2,30.885714285714283
2025-09-11,2303583,219.0,220.7,218.05,218.45,31.207142857142856
2025-09-12,537602,220.0,220.5,219.7,220.5,31.5
2025-09-15,482644,221.0,221.3,219.0,220.05,31.435714285714287
2025-09-16,1187892,221.35,224.8,221.35,224.25,32.035714285714285
2025-09-17,305960,223.8,223.8,222.4,222.6,31.8
